name,minutes,points,reb,asts,stl,blk
John,3871,1437,308,488,0,0
Leo,7279,3232,1506,1116,0,0
Norton,10,4,3,1,0,0
Andre,819,219,71,135,29,1
Ernie,2092,641,343,229,0,0
Mike,5300,2500,592,730,0,0
John,0,295,0,54,0,0
Mike,5117,1519,502,686,158,25
Mike,1224,285,130,175,52,18
Dana,19481,8901,1609,2837,740,46
Earl,1139,404,249,35,25,12
Thomas,145,61,20,28,0,0
Brent,23637,8488,2780,2892,955,253
Drew,598,134,67,111,19,2
Jon,13878,4715,1511,1784,722,111
Rick,9328,6884,1695,935,0,0
Rick,28825,18395,5168,4017,1104,269
Ed,0,135,84,32,0,0
Vic,165,34,60,3,0,0
Eddie,144,39,28,8,9,2
Jerry,105,26,28,3,6,5
Brandon,3559,1450,825,107,54,113
Tim,5642,1543,1652,291,149,112
Tim,5588,1390,1496,285,209,115
Maceo,829,286,175,26,24,43
Mengke,494,156,114,27,11,5
Billyray,3328,2197,313,352,151,16
Esteban,581,121,174,11,18,11
Mike,1248,481,257,52,42,16
Shane,20715,6169,2940,1151,711,622
Tony,16844,4904,4098,491,407,690
John,10910,5338,824,1257,273,43
Kenny,1795,627,327,106,98,31
Dave,589,188,123,32,15,16
Lloyd,1317,598,197,106,73,6
Nicolas,1454,426,220,74,50,40
Frankie,0,631,0,54,0,0
Johnny,556,292,129,31,0,0
Johnny,2841,1206,537,110,36,16
Lonny,1885,637,466,40,37,59
Jerryd,652,228,57,78,16,2
Elgin,33863,23149,11463,3650,0,0
Howard,1181,338,456,71,0,0
Sergei,74,30,7,14,1,1
Ed,0,22,25,3,0,0
Al,118,30,46,0,0,0
Butch,14283,5622,2042,2189,499,36
Ralph,0,2006,251,551,0,0
Charlie,7347,2633,704,860,0,0
Jerome,5,2,1,0,0,0
John,13947,6909,4257,602,7,10
Michael,2008,1123,439,83,41,37
Zelmo,11328,6100,3716,526,62,143
Zelmo,18348,9107,5949,839,45,29
Byron,480,250,96,33,15,1
Byron,18717,8353,5165,945,155,42
Corey,951,241,125,123,43,9
Art,10554,5160,2604,410,0,0
Moe,0,162,0,30,0,0
Ernie,7054,2325,1191,669,0,0
Bob,4477,2257,1386,320,0,0
William,2514,964,573,109,37,126
Hank,0,935,0,53,0,0
Ron,9131,3977,2712,624,290,160
Elmer,55,16,17,4,0,0
Marco,1121,467,85,103,41,1
Walt,38940,20941,14241,2544,52,48
Charlie,7590,2715,664,740,258,18
Dennis,545,175,119,28,28,10
Raja,16738,6169,1610,1039,411,112
Troy,34,11,4,4,1,0
William,494,183,94,56,0,0
Irv,2479,827,341,125,0,0
Leon,1838,628,214,183,73,17
Jonathan,3554,1335,530,154,41,152
Benoit,21911,9223,6063,1070,522,1581
Corey,2191,835,259,143,71,48
Elmer,159,48,10,22,9,1
Mario,606,269,182,24,31,22
Mel,1532,498,426,107,52,51
Mel,2193,904,526,97,77,47
Tony,1886,538,155,303,69,1
Winston,2157,648,414,120,50,21
Willis,993,440,147,84,0,0
David,9314,3455,1984,287,216,246
Kent,15719,6168,3881,1203,605,586
Gene,0,10,0,2,0,0
Gary,40,8,8,1,0,0
Larry,255,121,85,18,0,0
Ricky,1406,706,197,80,37,22
Walter,4863,2882,971,292,122,151
Del,870,244,63,139,58,5
Travis,15149,5376,1249,2444,661,60
Wes,1224,608,89,57,0,0
Al,13649,5550,1722,1497,0,0
Hank,0,6,0,0,0,0
Henry,15475,5775,1581,2259,561,34
Mike,28919,13177,2665,4862,1034,134
Ed,18,4,2,3,0,0
Andris,7697,2681,2598,320,221,396
Don,38,14,9,1,0,0
Bob,762,234,111,42,19,4
Lionel,1022,393,280,49,40,10
Chauncey,26882,12614,2464,4669,869,140
Dave,32769,18327,3420,5397,483,89
Joe,51,14,18,1,2,2
Jerry,45,25,12,4,0,0
Larry,34443,21791,8974,5695,1556,755
Otis,21627,12544,2072,2260,858,143
Gale,0,467,0,92,0,0
Uwe,1966,505,413,102,19,85
Alex,109,34,23,7,4,2
Charlie,117,1245,31,312,0,0
Cory,551,202,96,26,25,3
James,80,18,11,11,4,0
Nate,112,37,6,18,3,0
Norman,28,8,2,2,1,0
Rolando,32087,17623,3278,2981,715,274
Tom,873,299,259,44,0,0
Steve,10659,3172,871,1753,297,28
Will,166,25,15,17,5,0
George,363,117,36,45,0,0
Lance,1045,289,110,117,39,8
Ricky,13,6,3,1,2,0
Andray,4237,1602,1032,259,128,226
Mookie,31026,11962,3659,5972,2073,300
Leon,0,2,2,1,0,0
John,14316,7106,3965,805,111,67
Mike,0,634,0,70,0,0
Corie,9925,2287,2690,460,328,264
Mark,13987,4941,2784,513,327,508
Ray,546,226,41,68,23,2
Tony,12,5,3,0,0,0
Nelson,2468,1052,405,488,0,0
Arlen,14791,5430,2234,1645,0,0
Tom,14387,4596,5745,2007,110,138
Keith,9957,3207,1359,588,315,43
Muggsy,25424,6858,2318,6726,1369,39
Andrew,8451,3118,2288,661,186,275
Etdrick,152,37,44,6,2,10
Bill,202,56,36,11,0,0
Manute,11698,1599,2647,171,126,2086
Doug,21,4,0,0,0,0
Phil,21,4,4,2,1,0
Walter,2427,873,289,177,97,34
Dexter,48,19,6,0,2,1
Ron,426,245,57,14,0,0
Ron,681,478,113,30,0,0
Anthony,7372,2199,1726,442,346,84
Matt,6705,2440,1303,240,166,104
George,9,4,2,0,0,0
Butch,221,70,91,6,0,0
Melvin,561,166,38,74,8,3
Josh,3441,1087,948,96,69,130
Ron,10795,5284,1046,1273,420,52
Ron,21596,12153,3302,2569,403,71
Calvin,4479,1190,1010,151,101,358
Keith,449,130,97,39,22,11
Bob,25549,12964,7119,1237,0,0
Carlos,14025,7274,4302,1019,413,206
Curtis,1117,258,278,64,14,46
Jake,0,342,0,53,0,0
Lazaro,167,62,40,10,6,3
Costic,0,64,24,4,0,0
Vince,5162,3187,831,610,0,0
Chris,16293,8597,4017,949,354,532
Jim,48,26,16,3,0,0
Lawrence,125,56,39,2,4,2
Tom,7046,2821,1709,591,142,111
Ruben,275,43,57,6,4,17
Don,3355,1763,553,393,0,0
Cal,1380,424,272,29,42,45
Bruce,24060,5290,2428,1089,712,336
Ryan,6493,1315,1058,250,324,138
Tom,3590,1132,1007,134,0,0
Anthony,8350,2945,1021,840,288,106
Sam,14098,5564,3845,1075,263,909
Orbie,90,21,29,1,0,0
Ira,68,15,5,9,3,0
Nate,217,43,87,13,0,0
Nate,2171,702,791,162,0,0
Donnie,195,79,25,16,13,5
Dennis,40,6,2,7,0,0
Fred,7723,2784,533,986,184,29
Ken,25,19,5,2,3,0
Earl,10875,4904,736,1764,327,28
Harry,0,1105,220,209,0,0
Winford,3035,1478,363,207,125,42
Cedric,198,26,23,9,5,2
Steve,2853,1141,291,408,74,6
Gary,4861,2962,1306,207,0,0
Gary,350,144,92,20,0,0
Alonzo,1139,440,151,74,24,7
Alex,331,137,65,11,12,5
Bill,22799,9217,2354,2533,209,65
Bill,521,218,47,54,0,0
Charles,910,347,119,55,46,34
Dudley,10192,3131,1098,1147,940,182
Jim,1913,687,528,128,69,62
Joe,0,87,0,36,0,0
Michael,2016,483,591,93,25,47
Shawn,19532,6752,5268,573,532,2119
Mark,251,59,68,7,5,5
Marques,369,131,79,8,17,8
Torraye,178,46,51,7,4,2
A.j.,61,8,22,0,1,0
Adrian,1429,834,253,96,83,17
Elton,24426,12852,6520,1674,592,1334
Terrell,21546,9994,2174,4407,1142,226
Bob,6576,2455,1944,699,0,0
Brad,856,391,206,52,32,30
Jesse,1892,1086,541,67,0,0
Jesse,14,5,9,1,0,0
Jim,359,110,39,33,0,0
Mike,10613,4081,1030,1851,548,59
Carl,18409,10625,2122,2892,0,0
Tim,940,299,96,41,24,13
J.R.,1946,646,181,215,56,7
Pete,136,40,31,6,0,0
Tom,52,10,5,2,0,0
Randy,12499,4599,2986,616,305,750
Corey,2113,552,342,136,92,27
Jamison,468,89,50,56,19,2
Jim,15936,4099,4458,1038,556,510
Ron,12892,5971,971,920,480,249
Ronnie,5364,2285,593,337,304,55
Primoz,6106,2433,1302,178,68,132
Frank,7616,5379,903,1138,0,0
Frank,16278,7302,3410,1384,644,285
Bill,30878,11012,11054,2553,69,36
Junior,21257,11517,2995,2066,685,220
Al,0,567,0,60,0,0
Audley,0,34,0,1,0,0
John,2626,1498,498,225,35,9
John,7327,5349,1654,562,0,0
Allan,882,328,174,121,24,2
Allan,13277,5122,2613,2098,490,40
David,9,4,2,3,1,0
Mike,248,63,53,7,4,12
Tyrone,84,28,15,12,0,0
Wayman,16,9,4,2,1,0
Jim,1493,619,182,222,75,22
Gary,4724,1928,407,715,107,76
Aaron,2606,1158,213,325,59,13
Clarence,59,21,12,1,0,0
Kevin,1031,417,141,48,18,6
Michael,9372,4086,2001,818,387,124
Price,0,476,0,137,0,0
Scott,9237,3317,685,1608,480,30
Andre,598,197,178,11,14,8
Bob,0,832,0,115,0,0
Bobby,934,361,52,117,21,3
Chucky,11948,4122,2147,549,228,214
Darrell,0,4,0,0,0,0
Damone,350,108,52,19,5,7
Dee,16843,6758,1556,2223,792,190
Devin,7962,2956,1158,615,229,52
Dee,711,140,69,119,32,7
Ernest,21,3,6,0,0,1
Fred,24422,14018,2637,3160,1149,166
George,6,1,1,0,0,0
Gerald,236,80,22,31,5,1
Harold,0,264,0,39,0,0
Jim,0,50,0,8,0,0
John,10108,3614,2126,703,250,76
Kedrick,1934,509,347,103,85,28
Kwame,10559,3256,2575,476,269,314
Larry,11309,4229,1005,2509,0,0
Leon,0,0,0,0,0,0
Lewis,5,2,2,0,0,0
Marcus,229,92,22,23,8,2
Mike,10961,3130,2762,424,253,170
Myron,23,9,3,6,1,0
P.J.,33818,9870,8404,1661,912,1116
Randy,11533,3148,1173,1420,722,156
Raymond,56,16,15,4,0,0
Rickey,4487,1482,1200,119,95,114
Roger A.,21454,10498,3758,2315,103,81
Roger,1860,450,605,93,31,84
Roger,818,135,230,25,21,46
Shannon,895,380,84,63,40,13
Stan,141,104,17,10,0,0
Tierre,1654,527,166,266,64,4
Tony,6006,2163,766,563,234,40
Stanley,128,37,26,3,6,5
Brian,56,25,13,3,0,0
George,236,86,8,36,0,0
Rick,4535,1090,448,876,201,21
Emmette,11451,3722,1593,1700,0,0
Joe,12845,5252,2441,1049,519,201
Kobe,34538,23820,5018,4402,1441,543
Mark,13480,4313,2993,491,330,196
Wallace,1395,323,374,112,35,40
Torgeir,10,4,2,0,2,1
George,237,128,37,15,12,3
Joe,740,375,265,43,0,0
Cleveland,723,411,240,44,0,0
Greg,10893,2878,1593,719,453,111
Quinn,16245,5929,1969,3114,1337,80
Steve,75,23,7,10,2,1
Dave,6389,2505,1623,337,0,0
Walter,1126,2037,684,471,0,0
Jud,8446,2385,1266,560,314,143
Rodney,4184,1472,598,179,115,31
Matt,8884,3270,1223,535,186,119
Larry,3070,1142,821,94,0,0
Greg,97,28,17,4,3,3
Dick,271,92,28,17,0,0
Bill,1939,623,417,95,0,0
Bill,713,324,252,36,0,0
Luther,2181,1413,202,131,103,9
Luther,623,349,66,63,48,1
Pat,1294,468,266,44,28,40
Roger,30,5,6,5,6,2
Antonio,791,186,49,104,33,1
Kevin,342,70,26,48,26,2
Tom,9425,4190,2794,601,312,591
Jack,0,598,0,179,0,0
David,87,23,5,15,3,0
Evers,143,56,30,9,6,3
Jim,403,159,62,25,0,1
Scott,7592,2647,1332,527,341,181
Art,514,187,205,54,0,0
Bob,1199,459,357,47,0,0
Junior,495,189,109,15,15,10
Ed,70,33,18,3,0,0
Willie,6666,3243,932,393,191,121
Steve,1121,584,92,123,49,13
Don,17070,4485,1507,2920,1160,97
Don,9110,2405,1058,1505,658,66
Dave,355,158,101,21,0,0
Donnie,5085,1696,821,585,0,0
Al,5055,2282,696,530,0,0
Caron,17718,8112,2906,1477,817,143
Greg,210,76,53,4,1,2
Jackie,849,343,205,30,20,31
Mitchell,5464,1868,717,342,214,53
Mike,4554,2158,375,504,0,0
Rasual,10989,3941,1257,392,188,266
Andrew,4584,1885,1318,235,46,312
Will,962,464,87,176,41,2
Walt,109,33,25,6,0,0
Marty,4254,1495,586,409,102,34
Tommy,0,1712,72,311,0,0
Mike,0,210,0,31,0,0
