name,minutes,points,reb,asts,stl,blk
Mel,22340,11739,9494,1134,96,351
Predrag,2331,957,182,149,69,12
Adrian,34151,23177,5455,2830,944,150
Mike,1858,432,186,248,152,27
Mike,798,173,76,115,63,14
Henry,90,11,10,2,0,0
Jimmy,0,211,0,67,0,0
Oliver,4811,2047,1381,219,0,0
Yinka,1002,233,281,4,12,70
Jesse,401,170,37,30,3,1
Rick,120,26,36,9,5,3
Jimmy,34,12,7,6,0,0
Brad,20029,10389,5227,2028,422,397
Mack,43,13,5,3,0,0
Jermareo,434,162,96,14,9,18
Kornel,1585,549,306,64,46,24
Bob,8617,6594,980,2250,0,0
Antonio,26092,9041,6755,1017,430,889
Aubrey,0,287,0,14,0,0
Baron,23827,11364,2705,4902,1292,286
Ben,154,54,53,5,6,2
Bill,0,84,0,11,0,0
Bob,41,16,5,2,0,0
Brad,22302,7866,1738,4709,756,146
Brian,374,131,55,22,16,4
Charlie,2653,1287,219,319,2,0
Charlie,5050,2214,1008,309,127,74
Dale,29606,8706,8605,978,691,1270
Dwight,8010,2936,1991,529,139,149
Edward,3711,1478,800,295,76,16
Emanual,3933,1100,440,396,167,29
Glen,2579,843,509,97,84,39
Harry,424,175,72,16,14,8
Hubert,15135,5583,1045,1172,297,44
James,16,2,4,1,0,0
Jim,10027,3997,3109,739,89,66
Johnny,21200,9710,1505,3368,683,116
Josh,368,128,88,13,10,4
Lee,7805,3511,2195,435,68,80
Mark,3681,1261,697,294,200,76
Mark,258,127,37,14,13,5
Mel,2572,1008,816,164,66,22
Mike,836,377,76,66,0,45
Mike,4015,2066,435,346,0,0
Mickey,126,64,41,9,0,0
Michael,28,14,10,0,0,4
Monti,10,3,4,0,0,1
Paul,696,212,158,29,22,14
Ralph,3202,1195,248,424,0,0
Ricky,21434,9754,2493,2387,721,184
Ron,951,417,139,53,43,11
Terry,10369,3061,2882,273,183,149
Walt,5344,1558,1397,231,0,0
Warren,13090,5449,4097,944,0,0
Walter,28859,19521,3053,3878,1280,133
Willie,29,18,13,2,0,0
Darryl,17235,8733,4432,917,345,1023
Johnny,14859,5984,1336,2997,618,29
Paul,776,316,125,77,33,9
James,288,118,21,32,0,0
Tony,30,17,5,1,0,0
Darren,5208,2225,844,672,191,53
Todd,12214,5915,1649,713,532,291
Greg,48,10,6,6,0,0
Billy,47,10,6,8,0,0
Dave,31202,14053,9618,2497,67,39
Andrew,9848,2815,2488,339,390,300
Don,989,332,292,33,0,0
Archie,3092,1548,907,132,0,0
Terry,7304,3235,588,1034,213,37
Henry,0,14,0,0,0,0
Bison,10004,4536,2564,440,320,355
Carlos,4491,1529,793,315,158,40
Tony,11701,4957,1351,1024,447,77
Vinny,19211,7038,1810,2484,576,65
Nate,132,64,31,14,0,0
Fennis,74,36,23,5,1,0
Larry,3192,976,805,106,72,49
Dell,108,59,9,9,6,1
George,5720,1574,1125,711,0,0
Luol,11131,5121,2105,735,334,179
Kenny,1244,268,286,93,74,17
Blaine,9,5,4,0,0,0
Randy,9484,4510,3329,495,121,110
Randy,700,239,218,33,14,16
Joe,2281,830,226,185,0,0
Rod,1005,518,86,71,34,5
Dave,93,21,21,15,0,0
Walter,4025,1496,449,446,0,0
Hank,0,17,18,9,0,0
Derrick,686,253,133,63,21,11
Yakhouba,2566,650,254,119,51,16
Boris,13331,4240,2197,1836,304,270
Guillermo,17,5,2,1,0,0
Dan,4619,1745,405,752,164,12
Clyde,458,150,54,46,14,0
Derrek,5345,1962,1575,346,129,60
Dick,440,127,81,50,0,0
Henry,175,45,5,19,3,1
Kaniel,84,22,12,2,2,2
Michael,7490,3257,609,553,213,85
John,100,36,33,3,0,0
Travis,2602,848,241,424,72,9
Connie,15474,7094,4757,1053,0,0
Coby,9241,2915,1869,990,428,284
Coby,7046,2225,1903,750,238,236
Ernie,7859,2997,610,1594,190,14
Wayne,19,4,9,2,2,2
Mickey,221,73,15,34,8,2
Craig,1354,445,378,31,0,0
Bob,0,296,0,40,0,0
John,0,36,0,5,0,0
Byron,511,151,52,94,21,2
Jackie,89,45,20,7,0,0
Harry,87,19,23,5,0,0
Bill,2760,974,720,129,0,0
Ike,2317,1139,574,67,33,62
Desagana,7410,1086,1978,222,207,572
Terry,17841,9012,3646,1151,0,0
Fred,72,11,13,4,0,0
Vlade,33824,13398,9326,3541,1288,1631
Juan,8514,3678,816,775,341,34
Aleksi,61,25,5,5,0,0
Earl,0,15,0,6,0,0
Michael,8790,2882,1956,343,200,209
Joe,0,494,18,174,0,0
Bob,0,1653,0,273,0,0
James,26222,8203,7492,765,336,1267
Bob,4866,1818,1071,706,0,0
Billy,364,105,25,87,16,1
Harry,0,253,0,38,0,0
Keyon,10664,3919,753,1164,361,69
Jacky,449,143,141,16,12,6
Joey,6,2,1,1,0,0
Ron,12,4,5,0,0,0
Quincy,1536,590,152,93,51,21
Bruce,98,14,14,17,9,0
Chris,582,216,50,52,12,7
John,1043,452,91,147,48,9
Leon,10111,3587,2954,479,210,325
Sherman,21148,8425,1672,4536,785,76
Lloyd,398,174,114,23,0,0
Jerry,13,8,0,1,0,0
Sonny,4573,2284,1220,196,0,0
Bill,0,0,0,0,0,0
Steve,146,64,41,11,5,0
Danny,25,16,8,3,0,0
Terry,92,22,15,3,6,2
Goran,730,246,103,111,29,3
Greg,4241,1014,1018,186,82,137
Bryce,3971,1081,295,524,123,10
John,21828,15291,5088,1224,1004,193
Larry,18370,8110,1265,3702,791,45
Clyde,37537,22195,6677,6125,2207,719
Nate,132,36,22,6,3,2
Terry,403,119,104,35,9,13
Terry,3229,1008,1010,186,21,16
Predrag,5539,2187,973,225,132,117
Ralph,67,15,19,14,1,2
Dick,424,132,56,47,0,0
Kevin,17462,8085,3945,598,329,316
Charles,6337,1908,1089,1230,284,13
Chris,16321,3473,5457,377,334,1027
Jared,2546,796,492,137,112,19
Terry,1977,961,160,170,63,17
Bob,0,19,0,0,0,0
Bob,1123,400,104,167,0,0
Chris,10646,2957,965,1909,340,21
Walter,14671,5765,6223,608,0,0
Joe,35139,16401,2203,4612,902,83
Richard,2226,1080,351,111,137,47
Rich,5,2,1,0,0,0
Tony,2222,1140,198,186,65,19
Andy,0,746,30,101,0,0
Tim,33151,19246,10546,2847,689,2117
Mike,8428,3496,689,1723,329,25
Mike,14825,6217,2413,1326,442,151
Pat,206,70,31,28,0,0
T.r.,23080,5033,4371,1631,1316,252
Ronald,1743,553,336,99,57,29
Kevin,5656,3497,830,397,173,129
John,2947,712,226,411,104,11
Jarrett,1,0,0,0,0,0
Pat,933,323,108,57,37,33
Devin,807,317,132,85,22,10
Ken,1205,484,233,54,22,13
Dennis,267,96,31,34,22,4
Jack,0,276,0,129,0,0
Craig,103,43,12,15,2,0
Gene,91,16,16,5,0,0
Ledell,8914,4783,979,740,249,31
Jim,17279,7627,5142,1197,156,384
Jim,1744,628,436,148,36,66
Acie,2512,980,517,61,63,126
Ed,12,4,2,0,0,0
Mark,25169,5216,6939,840,368,3064
Jerry,2685,1132,208,414,85,8
Bill,50,15,8,4,0,0
Al,4138,1490,760,175,158,35
Ndudi,86,40,19,4,1,5
Roy,529,249,176,19,16,32
Patrick,13,4,1,0,0,0
Thomas,3464,3221,913,550,0,0
Kent,143,11,26,10,5,4
Charlie,3090,1201,981,109,117,105
Bobby,1350,580,378,29,0,0
Keith,931,522,127,56,37,13
Tyus,4743,1728,393,907,217,6
Bill,44,6,14,4,3,1
Blue,18409,7585,2376,1409,728,298
Corsley,110,27,25,3,3,4
Doug,838,203,153,60,17,27
Franklin,4436,1802,300,774,249,21
James,28356,14862,6004,1499,420,867
Jay,26,7,2,4,1,0
John,435,99,67,8,6,19
Kevin,15332,6596,1655,1609,825,197
Johnny,14447,5521,1294,2102,0,0
Lonnie,0,4,0,1,0,0
Eddie,0,800,0,177,0,0
Craig,21071,7492,3139,2456,989,232
Rich,10,2,1,3,0,0
Howard,16010,5116,1324,2748,540,83
Obinna,1515,510,383,31,38,27
Khalid,936,314,81,145,48,2
Don,0,0,0,0,0,0
Mario,18654,6267,2017,1875,671,129
Ray,0,6,8,0,0,0
Bob,2324,980,502,204,69,34
Sean,24502,10544,3204,1897,576,284
Alexander,1873,607,616,86,0,0
Bo,1984,613,482,113,69,84
Dale,34778,19002,4201,1746,974,183
Harold,1923,840,291,89,159,18
Joe,10374,4623,2686,716,33,9
Laphonso,17615,7410,4032,981,433,477
Leroy,27520,10176,8709,1405,146,151
Leron,857,277,220,29,25,37
Monta,7493,3716,862,805,326,67
Pervis,11593,4494,3170,691,293,752
Len,8384,2327,2146,459,379,405
Len,4005,1621,1214,157,203,269
Francisco,6519,1578,1507,224,205,240
Darrell,1869,596,163,202,82,9
Darrell,40,5,6,2,1,0
Melvin,5616,1917,1140,247,95,197
Wayne,21763,10380,7544,1194,0,0
Andre,28,7,2,0,0,0
Ned,0,14,0,4,0,0
Chris,1405,343,386,45,32,42
Wayne,50,28,16,7,1,0
A.j.,3108,1502,315,320,57,24
Alex,38063,25613,6538,4351,1067,833
Claude,70,27,20,6,0,0
Jojo,577,179,54,46,18,13
Scott,1364,500,379,92,50,20
Scott,196,93,44,15,0,0
Gene,0,360,0,41,0,0
Ray,72,26,5,2,1,0
Bo,401,148,83,26,0,0
Keith,18841,7251,3448,1991,222,45
Julius,16550,11662,4924,1952,764,648
Julius,28677,18364,5601,3224,1508,1293
Evan,2137,421,601,76,69,95
Jack,0,64,0,14,0,0
Vincent,282,116,16,23,7,0
Billy,602,102,39,100,0,0
Bob,0,142,0,55,0,0
Brian,1097,375,164,77,35,18
Earl,381,157,75,37,14,1
Maurice,7715,2716,1050,318,213,57
Mike,9858,4531,808,1514,430,51
Reggie,10067,2205,3525,298,359,79
Daniel,1671,425,158,174,69,10
Patrick,40597,24815,11606,2215,1136,2894
Johnny,0,1031,0,169,0,0
Joe,0,63,0,2,0,0
John,171,60,45,11,0,0
John,2106,1025,481,104,0,0
Phil,0,155,0,36,0,0
Dick,3822,1378,527,386,0,0
Jordan,3966,1485,418,524,177,22
Desmon,86,26,7,11,1,0
Jim,1454,715,186,111,42,4
Mike,8818,2816,1950,550,0,0
Tony,1368,532,327,79,76,20
Bob,0,343,0,33,0,0
Nick,269,107,89,11,8,11
Dave,27,6,6,1,0,0
Bob,0,2936,0,440,0,0
Butch,487,248,74,36,11,7
Jamie,4315,911,1437,139,117,90
Ron,59,30,6,6,0,0
George,79,52,7,19,0,0
Dave,3001,1192,815,125,46,46
Noel,82,18,13,2,2,3
Ray,15188,6974,5652,448,0,0
Raymond,11298,4345,1078,2127,441,60
Jake,1031,287,126,94,0,0
Bill,0,85,0,16,0,0
Desmond,32,13,4,1,0,0
Rudy,1993,815,207,158,69,12
Eric,1643,517,372,82,52,51
Al,7582,2525,830,943,0,0
Duane,8727,3704,1132,509,302,105
Rolando,34,9,13,1,0,1
Arnie,0,1037,271,278,0,0
Bob,12828,5780,3343,906,0,0
Danny,18134,6439,2550,1185,384,292
Kyrylo,226,63,62,6,7,18
Bobby,124,54,30,20,0,0
Kenny,2692,1140,464,188,97,38
Ron,73,43,25,7,0,0
Greg,338,118,108,20,0,0
Larry,3042,1106,217,301,78,7
Hank,6866,2790,2151,426,10,10
Michael,37290,17104,4733,3202,986,317
Danny,3397,1042,548,566,0,0
Derek,24683,8590,2056,3045,1023,72
Rick,66,37,32,5,0,0
Matt,516,177,110,25,19,14
Gerald,238,84,30,33,7,5
Bob,0,240,0,47,0,0
Dick,0,277,0,40,0,0
Marcus,6030,2782,1340,352,134,81
Jerry,882,1512,152,429,0,0
Al,97,40,30,7,0,5
Ed,6186,2511,1532,544,0,0
Vern,24721,10125,3015,4293,926,105
Luis,77,35,3,11,2,0
Bruce,699,261,180,47,19,12
Sleepy,26383,12260,2494,5175,1120,215
Mike,1097,421,133,133,44,9
Mike,2279,896,304,321,98,16
Larry,14,2,3,0,1,0
Jack,83,53,16,5,0,0
Isaac,75,11,5,4,0,0
Levi,210,134,15,22,0,0
Alphonso,114,35,20,10,3,0
Alton,523,186,124,11,6,8
Bob,74,14,12,4,0,0
Chris,22043,7314,2394,2719,1152,192
Don,9301,3016,1691,647,274,139
Jake,249,126,20,35,0,0
Phil,13503,5594,854,3083,589,29
Sherell,139,90,24,5,8,1
Sharrod,13,4,3,0,0,1
T.J.,9737,4039,1082,2129,408,35
Donnie,0,179,0,74,0,0
Bayard,2130,569,565,296,52,71
Joseph,125,30,17,17,6,0
Danny,8833,3615,3184,306,182,94
Fred,9116,4093,1275,601,57,8
Greg,7974,2538,1691,351,94,194
Jeff,14421,3486,4776,632,472,272
Jimmy,1158,331,117,190,58,9
Rod,3446,1562,258,479,137,10
Antonis,319,108,62,10,9,11
Larry,21890,11198,8041,1368,0,0
Cal,1234,343,170,126,0,0
Jerry,41,9,10,2,0,0
Tremaine,1232,301,228,54,47,6
Harold,84,31,8,10,0,0
Jim,17294,6945,5525,1201,151,79
Rick,23722,8966,3517,2649,967,355
Randy,5630,2481,560,699,161,50
Adonal,13069,2989,3461,344,264,1193
Richie,1475,502,164,83,37,10
Steve,21632,10446,3215,3473,845,223
Nat,0,16,0,3,0,0
Tellis,4703,1710,1022,276,158,95
Will,1264,657,400,65,6,5
Ron,9912,4733,2128,668,0,0
Walt,30965,15581,4830,5040,681,59
Will,9,1,5,1,0,0
Wilbert,3495,1499,1082,170,0,0
Anthony,1640,718,280,135,76,45
Donnie,19546,11544,2112,2121,113,37
Donnie,1480,689,180,171,57,11
Gary,382,167,106,35,0,0
Rod,265,106,54,14,12,1
World,26893,17955,2430,3319,910,223
Matt,587,133,85,27,16,3
Frido,0,88,0,14,0,0
Larry,569,175,106,47,0,0
Pat,363,123,41,55,0,0
Jim,1372,326,249,77,0,0
Channing,5561,2279,1262,200,113,132
Bernie,2370,756,227,357,142,16
Frank,0,140,0,8,0,0
Herm,0,109,0,17,0,0
Joe,4490,8003,1379,587,0,0
Carl,1214,433,358,60,0,0
Hiram,43,8,11,2,0,1
Tony,248,60,42,28,10,1
Todd,2500,835,674,46,34,60
Lawrence,4726,2031,1142,183,94,100
Terry,4809,2550,507,568,159,69
Billy,3680,2997,448,626,0,0
Dan,7003,2261,2094,170,220,405
Deng,5,0,0,0,0,0
Bill,5,2,1,0,0,0
Corey,1001,248,69,247,39,3
David,36,10,10,0,0,0
Elmer,0,29,0,10,0,0
Reece,603,123,53,50,17,3
Mike,9456,2831,1323,1181,509,168
Mike,11189,3372,1122,1965,840,163
Chad,3,6,0,0,0,0
Harry,15813,8843,6684,1208,0,0
Danilo,413,170,55,15,14,4
Dave,14665,7935,3891,757,0,0
Kevin,14508,6154,1457,1300,470,176
Bob,0,71,0,5,0,0
Jorge,1981,589,345,128,81,15
Ruben,73,16,29,5,3,2
Alex,159,47,15,18,6,1
Francisco,6770,2645,871,459,260,204
Chuck,487,197,136,13,0,0
Earl,0,89,0,19,0,0
Kenny,51,14,13,3,2,1
Thomas,143,45,11,3,4,1
Vern,507,1339,349,245,0,0
Jack,0,476,0,134,0,0
Gary,1106,334,138,145,54,4
Winston,13388,4799,1433,2421,674,80
Dick,12155,5597,1748,1114,0,0
Bill,5260,1638,1298,393,159,173
Bill,514,81,119,24,0,0
Chris,442,72,36,63,28,6
Kevin,39646,21277,11682,4534,1445,1736
Marlon,205,51,21,18,5,1
Calvin,3008,855,436,242,94,18
Dean,6970,1737,1810,204,168,372
Eldo,8729,3475,1004,849,10,1
Rowland,2905,1337,607,106,75,39
John,267,131,77,10,8,6
Kiwane,248,72,20,30,7,2
Pat,11069,4017,1457,443,245,104
Tom,4718,1359,501,853,266,22
Jim,11,2,5,0,0,0
Marc,2520,975,605,143,63,90
Pau,20825,11002,5087,1853,313,1000
Frank,0,287,0,91,0,0
Chris,13761,7232,3741,461,464,375
Kenny,9930,3923,2327,444,290,327
Ed,0,54,38,13,0,0
Rudy,8055,3971,1282,393,279,212
Andrew,128,43,12,11,4,2
Reggie,931,209,82,110,50,14
Matt,12221,5059,3158,391,307,347
Mickael,1701,489,231,89,34,31
Devean,10926,3294,1861,511,395,220
Jack,15860,5153,2129,2169,0,0
Tate,2019,736,180,325,76,11
Gus,4429,2158,1092,336,132,183
Gus,3524,1607,719,224,151,135
Derrick,1082,676,175,38,39,26
George,26536,20708,3607,2214,941,670
George,9061,5887,1995,584,342,377
Gorham,0,5,0,0,0,0
John,13650,4210,3188,832,225,476
Dick,4310,1739,624,260,67,35
Daniel,4550,1467,381,346,114,38
Dee,0,281,0,126,0,0
Mel,53,13,4,6,0,0
Mike,390,101,106,14,13,11
Ward,0,176,0,37,0,0
J.R.,7,4,3,0,1,0
Ben,84,25,23,2,2,4
Eddie,2034,571,207,217,104,14
Gene,0,8,0,2,0,0
Jack,27,2,7,0,0,0
Armen,26421,12700,6402,1086,676,608
Herm,15026,6252,2175,2225,369,49
Kendall,29482,12914,4002,2945,1519,432
Artis,29685,15579,9161,1777,470,1747
Artis,17449,9362,7169,1273,178,1431
Walt,261,58,73,12,0,0
Chuck,0,1392,75,348,0,0
Emmanuel,13254,7044,1943,1704,734,162
Gordan,8820,3670,941,584,222,47
Jack,2601,1040,456,142,123,36
George,0,102,0,19,0,0
Gerald,3347,1553,512,298,130,58
Mike,9617,4496,710,952,318,43
Norman,0,2,0,0,0,0
Georgi,772,239,163,32,26,25
Clarence,119,65,46,4,0,0
Dion,6131,2407,897,455,233,65
Andreas,80,17,8,1,0,0
Mike,24058,10953,6480,1203,507,989
Dan,22,13,2,0,1,4
Tom,22529,7871,5617,2962,0,0
Ben,0,2,0,0,0,0
Anthony,4951,1667,359,737,167,9
Ryan,8695,3467,1574,457,211,50
Glen,7545,2544,1964,605,485,117
Grant,1080,454,146,115,38,5
Drew,14333,6134,4023,575,392,331
Gail,33527,19181,3279,4805,545,72
Steve,183,24,26,11,3,3
Wilfred,0,347,0,22,0,0
Ben,12479,7372,1196,1192,318,62
Eric,2677,1252,201,215,78,35
Lancaster,2581,1125,259,294,128,31
Paul,0,3,0,3,0,0
Marcin,834,257,302,16,19,54
Leo,0,465,0,36,0,0
Gerald,22925,5251,7119,2164,139,97
Bato,258,75,18,24,0,0
Joe,22665,9280,5999,1502,0,0
Ricky,8,4,1,1,0,0
Cal,52,13,10,0,0,0
Greg,2530,938,219,201,128,12
Joey,4774,1771,851,167,104,29
Mal,889,327,118,75,0,0
Orlando,22,8,11,0,0,0
Paul,3354,1499,433,352,186,32
Stephen,1195,490,178,57,23,13
Jim,168,79,50,8,2,8
Ron,872,254,163,58,31,6
Danny,9813,5009,1582,550,288,299
Stewart,996,316,78,173,33,1
Brian,21415,7933,5622,923,455,561
Bud,0,249,115,90,0,0
Gary,12602,4368,1283,3013,821,69
Greg,3350,767,248,751,161,8
Harvey,20510,7781,3435,1219,599,427
Horace,38623,12996,9443,2575,1143,1136
Josh,382,157,89,24,18,8
Paul,111,29,18,3,2,1
Travis,4156,2642,767,204,106,52
Travis,153,125,52,7,0,0
Don,0,4,0,3,0,0
Butch,11,5,2,1,1,0
Aaron,1331,458,388,87,35,34
Devin,173,67,39,7,9,3
Ed,809,373,73,46,27,12
Jeff,8277,3257,1294,635,271,65
Evric,42,13,3,2,1,0
Gary,276,105,23,26,0,0
Leonard,6058,2408,1169,490,196,91
Stuart,3457,906,1020,148,64,133
Sylvester,1220,440,286,117,36,25
Wyndol,0,363,0,50,0,0
Bob,20,2,2,1,0,0
Bob,335,111,65,40,0,0
A.c.,36555,12331,9473,1400,1033,545
David,23370,8428,6537,1614,583,739
Devin,136,25,24,7,3,0
Donte,727,209,86,30,16,14
Gerald,2888,1362,368,145,72,38
Jerry,329,122,83,11,0,0
Jeff,5114,2130,897,274,127,80
Johnny,24624,12281,9083,1449,0,0
Kenny,625,265,101,16,9,11
Ken,72,31,27,2,4,0
Lamar,1136,327,364,63,18,63
Lamar,6168,1806,2186,247,32,38
Litterial,1189,423,75,182,49,6
Luther,32,3,3,0,0,0
Luther,903,381,318,30,0,0
Mike,5410,2062,1329,340,125,372
Mike,5924,3239,1852,247,200,380
Orien,1552,323,195,154,97,15
Rickey,23271,8870,1819,5221,1348,51
Sean,671,352,85,45,33,13
Si,13132,4636,2152,1655,0,0
Sidney,13247,5080,4128,635,369,220
Steve,1068,474,194,64,31,10
Steve,1632,705,300,97,71,17
Taurean,73,27,10,11,2,0
Tommy,809,232,68,140,61,6
Willie,7627,3316,680,579,225,50
Hal,39788,21586,5665,4540,0,0
Lynn,438,167,27,53,17,1
Claude,315,136,97,16,10,13
Gary,996,349,253,55,4,10
Gary,7309,2878,2033,427,0,0
John,26,19,6,0,0,1
Norm,1,0,0,0,0,0
Kevin,15246,7364,1594,1247,392,112
Dennis,1391,543,345,52,0,0
Adrian,7993,1919,1513,653,437,59
Darrell,21403,12391,2519,1627,931,242
Eddie,6731,2171,1744,236,105,518
Greg,422,145,103,24,16,0
Paul,10053,2443,2650,1116,403,248
Chuck,45,16,11,7,0,0
Derek,46,14,4,0,3,1
George,0,61,0,1,0,0
Dick,663,309,86,69,0,0
Bob,12575,4567,2253,1481,615,361
Mike,335,103,123,11,0,0
Jerry,33,14,4,4,0,0
Alex,0,2925,709,318,0,0
Dick,8,4,0,1,0,0
Anthony,108,52,17,9,7,0
Ernie,12916,5124,1815,1419,472,134
Gene,1082,413,294,36,0,0
Petur,2060,693,563,153,35,96
Richie,27449,14676,4278,4211,0,0
Tom,23558,9895,5588,2140,1079,492
Andres,200,60,61,12,8,2
Jay,346,98,97,20,13,15
Coulby,0,893,0,65,0,0
Dave,5,2,3,3,0,0
Al,0,214,0,95,0,0
Matt,16603,4285,1446,2174,117,41
Matt,0,82,0,9,0,0
A.j.,1247,442,80,147,20,12
Rudy,414,141,78,28,15,8
Rudy,46,14,13,3,0,1
Hamed,120,48,47,8,1,12
Jim,3004,1344,936,135,0,0
Scott,609,213,55,89,16,3
Cliff,2343,1423,439,404,0,0
Cliff,21731,13447,5116,2242,0,0
Glenn,25,7,4,8,3,0
Tom,916,358,113,135,0,0
Bob,0,10,0,1,0,0
Al,294,91,41,44,0,0
Happy,24330,11505,8019,1268,116,28
Lindsay,651,273,179,21,21,32
Malik,155,50,28,13,6,7
Marcus,810,286,121,16,15,32
Chuck,0,2671,539,438,0,0
Harvey,2039,786,949,64,0,0
Bruce,0,1297,49,424,0,0
Hal,1706,361,206,144,0,0
Jack,3288,1180,921,82,60,48
Shaler,1129,450,210,121,0,1
Shaler,2519,1136,571,302,0,0
Jeff,1075,562,145,116,0,0
Mike,13,2,2,1,0,0
Darvin,5180,1139,963,229,136,154
Steve,268,76,60,7,2,4
Dale,0,25,0,17,0,0
Dennis,519,197,101,38,0,0
Dennis,1342,459,341,74,0,0
Joe,9098,4145,884,1208,88,5
Ralph,0,289,0,83,0,0
Richard,24720,13284,2455,2549,609,118
Roylee,1121,336,110,192,48,5
Steve,1094,368,278,43,0,0
Tang,98,20,18,5,4,0
Thomas,343,107,112,16,4,23
Zendon,1560,585,464,33,39,28
Geert,27,14,7,2,0,0
Julian,8039,3547,2036,421,0,0
Tom,10417,3617,2243,378,167,136
Joe,1839,750,217,227,0,0
Darrin,1398,467,169,89,56,10
Ben,469,163,120,19,10,9
Cecil,0,394,0,22,0,0
Phil,187,122,57,6,4,1
Alex,7713,3078,2013,857,0,0
Don,121,33,30,11,0,0
Bob,11104,3952,1282,947,359,50
Glenn,1447,588,247,93,61,16
Lars,205,76,59,14,1,1
Travis,507,123,70,19,10,9
Reggie,26,6,6,1,2,1
Rollen,1734,556,176,207,0,0
Bill,15534,5414,2058,2058,727,205
Anfernee,23714,10684,3146,3525,1125,312
Tim,30626,15373,2855,7095,1428,129
Reggie,1145,401,428,71,0,35
Reggie,5224,1774,1771,325,0,0
Charlie,2474,1198,930,103,0,0
Alan,421,193,53,23,10,13
Darrell,172,89,56,8,0,0
James,5379,1410,1312,315,178,235
Ira,13160,4396,4955,736,0,0
John,0,710,30,111,0,0
Jerry,1513,589,227,150,0,0
Jerry,59,29,6,6,0,0
Skip,218,106,16,37,0,0
Jerome,158,46,23,12,9,0
Derek,37783,15997,2885,6571,1958,304
Mike,1894,613,432,71,78,102
Ron,31199,13910,4309,3916,1716,729
Matt,17591,7645,3366,907,497,112
Adam,111,30,8,12,2,1
Al,21758,10010,4248,1313,681,197
Art,5206,2171,575,639,0,0
Bernie,25,5,8,1,0,1
Billy,1221,609,122,111,55,6
Bob,5768,2209,1824,502,0,0
Bob,12926,4418,1358,1672,0,0
Chris,420,101,44,44,0,0
David,2691,949,549,47,64,185
Devin,9053,4219,827,1486,430,79
Lorinza,3096,733,381,428,126,25
Lucious,15702,5784,1864,1130,556,86
Mike,158,62,54,3,6,3
Othella,13931,5212,3130,443,185,286
Steve,2840,1440,365,238,116,29
Tony,147,68,11,8,5,0
Jason,5260,1621,565,768,251,33
Antonio,1954,553,433,58,55,130
Donnell,3318,1150,827,161,97,80
Clem,17624,8743,2087,2382,127,30
Scott,186,55,55,6,2,15
Udonis,13819,4404,3548,504,277,151
Billy,0,405,35,184,0,0
Joey,3642,1723,307,386,126,17
Trenton,15175,3511,1674,1082,265,263
Scott,5985,1647,1287,284,159,153
Kirk,134,32,27,8,0,6
Vern,3666,1244,531,310,0,0
John,46471,26395,8007,6114,476,117
Spencer,3187,1210,778,193,58,133
Steve,15831,5768,4272,1288,518,314
Connie,4998,3295,1479,504,0,0
Connie,17234,8233,3971,2052,244,150
Hersey,32038,14468,3554,2860,1622,302
Juaquin,685,134,78,47,29,6
Marshall,0,152,0,51,0,0
Michael,641,132,68,117,21,2
Robert,2005,1313,240,150,114,47
Tom,18465,6672,4607,871,0,0
Nate,1991,882,333,108,72,42
Chuck,4682,914,1379,194,215,94
Elvin,50000,27313,16279,2398,864,1771
Jarvis,8867,3201,1222,419,282,47
Jim,494,144,45,47,0,0
Steve,2296,545,526,85,32,102
Brendan,12563,3982,3145,330,236,764
Spencer,25600,14592,7038,1351,355,629
Spencer,3808,2519,1637,190,0,0
John,0,18,0,3,0,0
Walt,19202,9087,2146,3555,26,6
Luther,6393,2288,705,605,226,25
Shane,308,97,22,38,4,3
Brian,70,28,4,6,0,0
Garfield,19571,6828,5876,1220,784,780
Herm,23,4,4,2,0,0
Alvin,14,8,2,0,0,0
Tom,19254,12194,5749,1318,0,0
Dick,2384,863,703,102,0,0
Alan,13775,5094,3249,397,362,297
Cedric,16,11,8,0,0,0
Cedric,6182,1885,755,419,228,111
Dave,351,126,35,34,12,5
Gerald,18856,7773,1453,3141,939,99
Jerome,39,16,8,0,1,1
J.r.,331,97,47,22,9,4
Kevin,235,65,24,34,9,0
Tom,17690,6088,1494,3136,760,76
Mark,1508,381,316,63,50,15
Larry,817,331,94,73,0,0
Don,3927,989,990,240,0,0
Al,447,194,148,8,0,0
Bill,0,613,0,103,0,0
Carl,149,78,19,4,5,0
Conner,756,305,83,102,21,6
Skeeter,15,4,2,4,0,0
Steve,2282,739,176,465,88,2
Charlie,1075,341,386,31,0,0
Bill,0,56,0,15,0,0
Clarence,62,2669,467,366,0,0
Carl,8042,2481,1690,261,237,203
Chris,1005,224,73,167,29,2
Walter,1945,819,319,66,31,12
Keith,2620,1219,242,174,105,30
Sidney,0,2563,260,618,0,0
Dan,555,248,234,35,0,0
Fred,8885,4658,2444,462,0,0
Bill,7461,2062,1994,469,9,10
Jack,0,65,0,1,0,0
Art,5221,2511,1047,513,0,0
Art,3019,1519,414,346,0,0
Roy,1009,494,243,49,20,76
Matthew,0,2,0,0,0,0
J.J.,704,245,165,9,14,30
Phil,390,132,94,32,13,0
Bill,348,138,21,32,8,1
Earle,467,231,128,35,0,0
Mike,111,30,9,5,2,4
Rod,17189,7011,2819,1254,485,359
Sean,3334,1375,402,226,73,32
Kenny,4435,1470,391,944,239,23
Johnny,4538,1396,617,525,325,86
